Country,League,Club,Player Names,Mins,Goals,xG,On Target Per Avg Match,Year
Portugal ,Primeira Liga,(MNU),Bruno Fernandes,1656,8,5.58,1.32,2019
Portugal ,Primeira Liga,(BOA),Angel Gomes,530,3,1.12,0.54,2019
Portugal ,Primeira Liga,(POR),Toni MartÃ­nez,2312,10,10.46,1.19,2019
Portugal ,Primeira Liga,(BEN),Pizzi ,2981,18,15.69,1.24,2019
Portugal ,Primeira Liga,(MIJ),Bozhidar Kraev,2399,8,4.55,0.75,2019
Portugal ,Primeira Liga,,Sandro Lima,2747,10,10.12,1.07,2019
Portugal ,Primeira Liga,(MAR),Rodrigo Pinho,1732,9,6.56,1.21,2019
Portugal ,Primeira Liga,(MAR),Rodrigo Pinho,646,6,3.06,1.18,2019
Portugal ,Primeira Liga,(SAN),Thiago Santana,714,6,3.31,1.6,2019
Portugal ,Primeira Liga,(BEN),Everton ,622,2,1.05,1.07,2019
Portugal ,Primeira Liga,(BAR),Trincao ,1749,8,4.6,1.03,2019
Portugal ,Primeira Liga,(LIS),Andraz Sporar,356,2,3.41,1.87,2019
Portugal ,Primeira Liga,(BRA),Ricardo Horta,2750,12,8.97,1.28,2019
Portugal ,Primeira Liga,(VGU),Bruno Duarte,509,2,1.77,0.56,2019
Portugal ,Primeira Liga,(LIS),Nuno Santos,567,3,1.55,0.84,2019
Portugal ,Primeira Liga,(VGU),Bruno Duarte,1684,8,5.5,0.9,2019
Italy,Serie A,(NAP),Arkadiusz Milik,1870,11,9.45,1.47,2019
Italy,Serie A,(INT),Romelu Lukaku,3156,23,18.94,1.41,2019
Italy,Serie A,(Sassuolo ),Francesco Caputo,3125,21,13.82,1.06,2019
Italy,Serie A,(ROM),Edin Dzeko,3075,16,19.74,1.42,2019
Italy,Serie A,(NAP),Andrea Petagna,3263,12,13.74,0.96,2019
Italy,Serie A,(JUV),Cristiano Ronaldo,3127,31,27.32,2.4,2019
Italy,Serie A,(SAS),Domenico Berardi,2654,14,10.9,1.65,2019
Italy,Serie A,(CAG),Joao Pedro,3394,18,13.93,1.04,2019
Italy,Serie A,(ATA),Josip Ilicic,1786,15,9.78,1.91,2019
Italy,Serie A,,Andreas Cornelius,1637,12,6.38,1.16,2019
Italy,Serie A,(CAG),Giovanni Simeone,3115,12,11.8,0.91,2019
Italy,Serie A,(LAZ),Ciro Immobile,3371,36,26.61,2.0,2019
Italy,Serie A,(LEC),Marco Mancosu,2627,14,15.21,1.12,2019
Italy,Serie A,(ATA),Duvan Zapata,2143,18,15.11,1.64,2019
Italy,Serie A,(INT),Lautaro Martrinez,2581,14,14.4,1.62,2019
Italy,Serie A,(ATA),Luis Muriel,1370,18,12.4,2.84,2019
Italy,Serie A,(SAM),Fabio Quagliarella,2413,11,13.72,1.38,2019
Italy,Serie A,(BEN),Gianluca Lapadula,1906,11,9.43,1.2,2019
Italy,Serie A,(ACM),Ante Rebic,1514,11,6.85,1.25,2019
Italy,Serie A,(TOR),Andrea Belotti,3214,16,16.58,1.21,2019
Germany,Bundesliga,(DOR),Jadon Sancho,2387,17,9.8,1.11,2019
Germany,Bundesliga,(CHE),Timo Werner,2744,28,20.8,2.18,2019
Germany,Bundesliga,(WOB),Wout Weghorst,2893,16,18.27,1.25,2019
Germany,Bundesliga,(HOF),Andrej Kramaric,1502,12,9.33,1.45,2019
Germany,Bundesliga,(DOR),Marco Reus,1561,11,8.54,1.46,2019
Germany,Bundesliga,(CHE),Kai Havertz,2586,12,9.53,0.96,2019
Germany,Bundesliga,(BMG),Marcus Thuram,2296,10,10.15,1.49,2019
Germany,Bundesliga,(DUS),Rouwen Hennings,2592,15,10.91,0.99,2019
Germany,Bundesliga,(BAY),Robert Lewandowski,2783,34,31.05,2.29,2019
Germany,Bundesliga,(FRA),Andre Silva,1694,12,10.7,1.18,2019
Germany,Bundesliga,(FCA),Florian Niederlechner,2846,13,13.18,1.34,2019
Germany,Bundesliga,(DOR),Erling Haaland,1116,12,7.64,1.62,2019
Germany,Bundesliga,(BSC),Jhon Cordoba,2108,13,8.88,1.13,2019
Germany,Bundesliga,(MON),Kevin Volland,2159,10,11.59,1.41,2019
Germany,Bundesliga,(SCF),Nils Petersen,2595,11,8.47,0.7,2019
